SEQN,SDDSRVYR,RIDSTATR,RIDEXMON,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDAGEEX,RIDRETH1,DMQMILIT,DMDBORN2,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDSCHOL,DMDMARTL,DMDHHSIZ,DMDFMSIZ,INDHHIN2,INDFMIN2,INDFMPIR,RIDEXPRG,DMDHRGND,DMDHRAGE,DMDHRBR2,DMDHREDU,DMDHRMAR,DMDHSEDU,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANG,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
56574,6,2,2,2,61,737,737,3,2,1,1,0,0,4,0,3,1,1,6,6,2,0,2,61,1,4,3,0,1,2,2,1,2,2,1,2,2,1,55061,55139,1,80
56575,6,2,1,1,30,368,369,2,2,4,2,3,0,3,0,5,4,4,3,3,0,0,1,30,4,3,5,0,2,2,2,1,2,2,1,2,2,2,32998,34401,2,82
56576,6,2,2,1,18,216,216,3,2,1,1,0,11,0,1,0,4,4,8,8,2,0,2,56,1,4,1,5,1,2,2,1,2,2,1,2,2,1,66125,67317,2,79
56577,6,2,1,2,80,0,0,3,2,1,1,0,0,3,0,1,2,2,8,8,3,0,2,80,1,3,1,2,1,2,2,1,2,2,1,2,2,0,36753,39334,1,81
56578,6,2,1,1,51,613,613,4,1,1,1,0,0,2,0,5,5,5,8,8,1,0,1,51,1,2,5,0,1,2,2,1,2,2,0,0,0,0,20013,20012,1,83
56579,6,2,1,2,28,340,341,4,2,1,1,0,0,4,0,5,3,3,3,3,0,2,2,28,1,4,5,0,1,2,2,1,2,2,1,2,2,1,29459,29591,1,82
56580,6,2,2,2,79,948,949,3,2,1,1,0,0,3,0,1,2,2,14,14,5,0,2,79,1,3,1,4,1,2,2,1,2,2,1,2,2,0,37776,38087,2,81
56581,6,2,2,1,77,933,933,3,1,1,1,0,0,4,0,1,2,2,7,7,2,0,1,77,1,4,1,4,1,2,2,1,2,2,1,2,2,0,10077,10054,2,81
56582,6,2,1,2,7,92,93,1,0,1,1,0,1,0,1,0,7,7,14,14,1,0,2,40,1,4,6,0,1,1,2,1,2,2,0,0,0,0,7648,7896,3,86
56583,6,2,2,1,63,765,767,4,1,1,1,0,0,3,0,6,2,2,3,3,0,0,1,63,1,3,6,0,1,2,2,1,2,2,1,2,2,1,11351,11505,2,78
