cat,var,count,uniq_count
"Jams, syrups, toppings",5,55,47
"Jams, syrups, toppings",9,1,1
"Lamb, goat, game",1,12,11
"Lamb, goat, game",2,12,11
"Lamb, goat, game",3,37,32
"Lamb, goat, game",4,16,15
"Lamb, goat, game",5,1,1
Lettuce and lettuce salads,1,280,177
Lettuce and lettuce salads,2,618,430
Lettuce and lettuce salads,3,1072,778
Lettuce and lettuce salads,4,470,354
Lettuce and lettuce salads,5,104,89
Liquor and cocktails,1,55,43
Liquor and cocktails,2,131,91
Liquor and cocktails,3,227,170
Liquor and cocktails,4,92,70
Liquor and cocktails,5,46,30
Liver and organ meats,1,2,2
Liver and organ meats,2,12,11
Liver and organ meats,3,12,11
Liver and organ meats,4,6,6
Liver and organ meats,5,5,5
Macaroni and cheese,1,42,37
Macaroni and cheese,2,85,78
Macaroni and cheese,3,158,143
Macaroni and cheese,4,96,88
Macaroni and cheese,5,30,27
Macaroni and cheese,9,1,1
Margarine,1,108,70
Margarine,2,237,163
Margarine,3,467,323
Margarine,4,203,146
Margarine,5,54,38
Margarine,9,3,1
Mashed potatoes and white potato mixtures,1,89,76
Mashed potatoes and white potato mixtures,2,216,180
Mashed potatoes and white potato mixtures,3,435,379
Mashed potatoes and white potato mixtures,4,212,184
Mashed potatoes and white potato mixtures,5,47,41
Mashed potatoes and white potato mixtures,9,2,1
Mayonnaise,1,111,85
Mayonnaise,2,295,227
Mayonnaise,3,672,532
Mayonnaise,4,359,282
Mayonnaise,5,80,65
Meat mixed dishes,1,100,81
Meat mixed dishes,2,275,240
Meat mixed dishes,3,472,394
Meat mixed dishes,4,201,176
Meat mixed dishes,5,48,38
Meat mixed dishes,9,4,3
Melons,1,62,41
Melons,2,168,107
Melons,3,195,148
Melons,4,89,54
Melons,5,23,13
Milk shakes and other dairy drinks,1,9,8
Milk shakes and other dairy drinks,2,43,39
Milk shakes and other dairy drinks,3,65,61
Milk shakes and other dairy drinks,4,46,36
Milk shakes and other dairy drinks,5,14,10
Milk substitutes,1,69,43
Milk substitutes,2,120,65
Milk substitutes,3,128,85
Milk substitutes,4,25,20
Milk substitutes,5,9,7
"Milk, lowfat",1,103,52
"Milk, lowfat",2,193,99
"Milk, lowfat",3,328,174
"Milk, lowfat",4,142,75
