cat,var,count,uniq_count
Diet soft drinks,70,187,103
Diet soft drinks,80,75,40
Diet sport and energy drinks,0,3,3
Diet sport and energy drinks,10,3,2
Diet sport and energy drinks,20,10,10
Diet sport and energy drinks,30,5,5
Diet sport and energy drinks,40,3,3
Diet sport and energy drinks,50,2,2
Diet sport and energy drinks,60,5,2
"Dips, gravies, other sauces",0,161,146
"Dips, gravies, other sauces",10,176,154
"Dips, gravies, other sauces",20,154,116
"Dips, gravies, other sauces",30,207,152
"Dips, gravies, other sauces",40,178,139
"Dips, gravies, other sauces",50,156,124
"Dips, gravies, other sauces",60,123,95
"Dips, gravies, other sauces",70,68,56
"Dips, gravies, other sauces",80,50,41
"Doughnuts, sweet rolls, pastries",0,422,363
"Doughnuts, sweet rolls, pastries",10,359,293
"Doughnuts, sweet rolls, pastries",20,160,129
"Doughnuts, sweet rolls, pastries",30,174,151
"Doughnuts, sweet rolls, pastries",40,168,132
"Doughnuts, sweet rolls, pastries",50,148,121
"Doughnuts, sweet rolls, pastries",60,147,121
"Doughnuts, sweet rolls, pastries",70,90,65
"Doughnuts, sweet rolls, pastries",80,48,41
Dried fruits,0,99,84
Dried fruits,10,31,27
Dried fruits,20,29,27
Dried fruits,30,43,35
Dried fruits,40,50,43
Dried fruits,50,56,42
Dried fruits,60,65,51
Dried fruits,70,53,33
Dried fruits,80,45,28
"Egg rolls, dumplings, sushi",0,38,34
"Egg rolls, dumplings, sushi",10,68,54
"Egg rolls, dumplings, sushi",20,63,51
"Egg rolls, dumplings, sushi",30,58,46
"Egg rolls, dumplings, sushi",40,54,39
"Egg rolls, dumplings, sushi",50,44,41
"Egg rolls, dumplings, sushi",60,32,28
"Egg rolls, dumplings, sushi",70,11,9
"Egg rolls, dumplings, sushi",80,9,8
Egg/breakfast sandwiches (single code),0,63,61
Egg/breakfast sandwiches (single code),10,74,70
Egg/breakfast sandwiches (single code),20,55,50
Egg/breakfast sandwiches (single code),30,76,66
Egg/breakfast sandwiches (single code),40,82,73
Egg/breakfast sandwiches (single code),50,60,51
Egg/breakfast sandwiches (single code),60,55,47
Egg/breakfast sandwiches (single code),70,15,13
Egg/breakfast sandwiches (single code),80,7,7
Eggs and omelets,0,784,615
Eggs and omelets,10,459,385
Eggs and omelets,20,325,260
Eggs and omelets,30,335,265
Eggs and omelets,40,343,271
Eggs and omelets,50,384,307
Eggs and omelets,60,412,313
Eggs and omelets,70,225,169
Eggs and omelets,80,128,93
Enhanced or fortified water,0,17,13
Enhanced or fortified water,10,27,22
Enhanced or fortified water,20,32,19
Enhanced or fortified water,30,17,15
Enhanced or fortified water,40,17,14
Enhanced or fortified water,50,5,4
Enhanced or fortified water,60,15,9
Enhanced or fortified water,70,7,4
Enhanced or fortified water,80,2,1
Fish,0,191,168
Fish,10,136,125
Fish,20,132,104
Fish,30,140,115
Fish,40,174,139
Fish,50,193,150
Fish,60,194,163
Fish,70,129,104
Fish,80,50,40
"Flavored milk, lowfat",0,144,105
"Flavored milk, lowfat",10,87,68
"Flavored milk, lowfat",20,4,4
"Flavored milk, lowfat",30,7,7
"Flavored milk, lowfat",40,7,5
"Flavored milk, lowfat",50,6,5
"Flavored milk, lowfat",60,6,6
"Flavored milk, lowfat",70,2,2
"Flavored milk, lowfat",80,3,2
"Flavored milk, nonfat",0,32,23
"Flavored milk, nonfat",10,31,19
"Flavored milk, nonfat",20,1,1
"Flavored milk, nonfat",30,2,2
"Flavored milk, nonfat",40,1,1
"Flavored milk, nonfat",50,1,1
"Flavored milk, nonfat",60,2,2
"Flavored milk, nonfat",70,1,1
"Flavored milk, reduced fat",0,443,297
"Flavored milk, reduced fat",10,180,150
"Flavored milk, reduced fat",20,15,13
"Flavored milk, reduced fat",30,13,11
"Flavored milk, reduced fat",40,7,7
"Flavored milk, reduced fat",50,10,9
"Flavored milk, reduced fat",60,6,6
"Flavored milk, reduced fat",70,7,6
"Flavored milk, reduced fat",80,9,7
"Flavored milk, whole",0,234,176
"Flavored milk, whole",10,126,103
"Flavored milk, whole",20,21,18
"Flavored milk, whole",30,17,16
"Flavored milk, whole",40,6,6
"Flavored milk, whole",50,17,13
"Flavored milk, whole",60,10,10
"Flavored milk, whole",70,4,4
"Flavored milk, whole",80,4,4
Flavored or carbonated water,0,58,46
Flavored or carbonated water,10,36,27
Flavored or carbonated water,20,29,22
Flavored or carbonated water,30,35,23
Flavored or carbonated water,40,41,27
Flavored or carbonated water,50,49,30
Flavored or carbonated water,60,32,25
Flavored or carbonated water,70,7,6
Flavored or carbonated water,80,10,7
"Formula, prepared from concentrate",0,248,26
"Formula, prepared from powder",0,2540,266
"Formula, ready-to-feed",0,227,67
Frankfurter sandwiches (single code),0,317,274
Frankfurter sandwiches (single code),10,158,146
