cat,var,count,uniq_count
"Milk, reduced fat",2,592,345
"Milk, reduced fat",3,374,223
"Milk, whole",1,528,298
"Milk, whole",2,327,208
"Milk, whole",3,299,159
Mustard and other condiments,1,665,495
Mustard and other condiments,2,512,385
Mustard and other condiments,3,319,230
Nachos,1,28,26
Nachos,2,30,25
Nachos,3,21,19
Not included in a food category,1,95,75
Not included in a food category,2,64,51
Not included in a food category,3,47,36
Nutrition bars,1,37,29
Nutrition bars,2,31,25
Nutrition bars,3,26,19
Nutritional beverages,1,66,43
Nutritional beverages,2,41,29
Nutritional beverages,3,38,25
Nuts and seeds,1,926,590
Nuts and seeds,2,712,446
Nuts and seeds,3,363,240
Oatmeal,1,376,256
Oatmeal,2,216,158
Oatmeal,3,118,88
"Olives, pickles, pickled vegetables",1,295,227
"Olives, pickles, pickled vegetables",2,239,194
"Olives, pickles, pickled vegetables",3,149,110
Onions,1,399,338
Onions,2,353,287
Onions,3,180,148
Other Mexican mixed dishes,1,173,150
Other Mexican mixed dishes,2,149,126
Other Mexican mixed dishes,3,78,64
Other diet drinks,1,79,52
Other diet drinks,2,71,44
Other diet drinks,3,45,25
Other fruit juice,1,252,184
Other fruit juice,2,235,172
Other fruit juice,3,160,116
Other fruits and fruit salads,1,563,392
Other fruits and fruit salads,2,305,242
Other fruits and fruit salads,3,161,118
Other red and orange vegetables,1,156,137
Other red and orange vegetables,2,119,101
Other red and orange vegetables,3,37,32
Other sandwiches (single code),1,91,85
Other sandwiches (single code),2,90,78
Other sandwiches (single code),3,49,42
Other starchy vegetables,1,163,142
Other starchy vegetables,2,124,114
Other starchy vegetables,3,79,65
Other vegetables and combinations,1,1279,792
Other vegetables and combinations,2,845,528
Other vegetables and combinations,3,444,294
"Pancakes, waffles, French toast",1,198,179
"Pancakes, waffles, French toast",2,182,158
"Pancakes, waffles, French toast",3,84,76
"Pasta mixed dishes, excludes macaroni and cheese",1,365,296
"Pasta mixed dishes, excludes macaroni and cheese",2,274,225
"Pasta mixed dishes, excludes macaroni and cheese",3,183,149
"Pasta sauces, tomato-based",1,56,52
"Pasta sauces, tomato-based",2,66,63
"Pasta sauces, tomato-based",3,37,34
"Pasta, noodles, cooked grains",1,142,132
"Pasta, noodles, cooked grains",2,123,113
"Pasta, noodles, cooked grains",3,70,65
Peaches and nectarines,1,159,130
Peaches and nectarines,2,91,77
Peaches and nectarines,3,52,44
Pizza,1,419,328
Pizza,2,356,278
Pizza,3,191,153
Popcorn,1,158,144
Popcorn,2,126,116
Popcorn,3,82,79
Pork,1,372,313
Pork,2,233,195
Pork,3,136,121
Potato chips,1,503,436
Potato chips,2,387,315
Potato chips,3,263,215
Poultry mixed dishes,1,318,271
Poultry mixed dishes,2,229,186
Poultry mixed dishes,3,136,112
Pretzels/snack mix,1,124,100
Pretzels/snack mix,2,109,95
Pretzels/snack mix,3,65,54
Processed soy products,1,69,55
Processed soy products,2,41,31
Processed soy products,3,20,18
Protein and nutritional powders,1,62,44
Protein and nutritional powders,2,83,45
Protein and nutritional powders,3,31,24
Pudding,1,85,71
Pudding,2,62,59
Pudding,3,32,26
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",1,454,358
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",2,400,319
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",3,199,164
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",1,411,309
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",2,323,240
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",3,183,133
Rice,1,1011,624
Rice,2,580,398
Rice,3,278,207
Rice mixed dishes,1,322,269
Rice mixed dishes,2,200,161
Rice mixed dishes,3,144,113
Rolls and buns,1,614,501
Rolls and buns,2,509,408
Rolls and buns,3,266,223
Salad dressings and vegetable oils,1,733,546
Salad dressings and vegetable oils,2,585,444
Salad dressings and vegetable oils,3,308,233
Saltine crackers,1,194,166
Saltine crackers,2,135,114
Saltine crackers,3,80,68
Sausages,1,332,284
Sausages,2,211,182
Sausages,3,150,127
Seafood mixed dishes,1,189,169
Seafood mixed dishes,2,108,99
Seafood mixed dishes,3,82,73
Shellfish,1,207,163
Shellfish,2,114,96
Shellfish,3,79,57
Soft drinks,1,1791,935
Soft drinks,2,1264,642
Soft drinks,3,901,425
Soups,1,790,533
Soups,2,469,329
Soups,3,277,206
Soy-based condiments,1,185,138
Soy-based condiments,2,90,76
Soy-based condiments,3,52,39
Sport and energy drinks,1,218,156
Sport and energy drinks,2,167,121
Sport and energy drinks,3,110,71
Stir-fry and soy-based sauce mixtures,1,263,187
Stir-fry and soy-based sauce mixtures,2,135,101
Stir-fry and soy-based sauce mixtures,3,76,61
String beans,1,241,219
String beans,2,173,152
String beans,3,110,102
Sugar substitutes,1,604,271
Sugar substitutes,2,395,201
Sugar substitutes,3,265,137
Sugars and honey,1,1321,723
Sugars and honey,2,892,501
Sugars and honey,3,639,336
Tap water,1,3746,1373
Tap water,2,2883,1046
Tap water,3,1613,616
Tea,1,1531,796
Tea,2,1131,563
Tea,3,668,335
Tomato-based condiments,1,890,612
Tomato-based condiments,2,795,513
Tomato-based condiments,3,409,280
Tomatoes,1,918,669
Tomatoes,2,702,518
Tomatoes,3,338,254
"Tortilla, corn, other chips",1,459,363
"Tortilla, corn, other chips",2,341,285
"Tortilla, corn, other chips",3,218,177
Tortillas,1,323,231
Tortillas,2,206,150
Tortillas,3,99,70
"Turkey, duck, other poultry",1,120,101
"Turkey, duck, other poultry",2,96,89
"Turkey, duck, other poultry",3,52,42
Turnovers and other grain-based items,1,100,88
Turnovers and other grain-based items,2,79,70
Turnovers and other grain-based items,3,51,47
Vegetable juice,1,85,55
Vegetable juice,2,46,35
Vegetable juice,3,38,30
Vegetable mixed dishes,1,257,217
Vegetable mixed dishes,2,175,145
Vegetable mixed dishes,3,103,92
"White potatoes, baked or boiled",1,156,144
"White potatoes, baked or boiled",2,93,85
"White potatoes, baked or boiled",3,79,70
Wine,1,267,187
Wine,2,203,143
Wine,3,119,88
Yeast breads,1,2222,1305
Yeast breads,2,1576,929
Yeast breads,3,1021,602
"Yogurt, lowfat and nonfat",1,278,198
"Yogurt, lowfat and nonfat",2,232,168
"Yogurt, lowfat and nonfat",3,124,88
"Yogurt, whole and reduced fat",1,51,41
"Yogurt, whole and reduced fat",2,48,38
"Yogurt, whole and reduced fat",3,14,12
~ALL~,1,63870,2219
~ALL~,2,46619,1543
~ALL~,3,27686,979
