cat,var,count,uniq_count
Frankfurters,1,19,16
Frankfurters,2,8,8
Frankfurters,3,37,35
Frankfurters,4,63,54
Frankfurters,6,7,7
Frankfurters,7,4,4
French fries and other fried white potatoes,1,158,135
French fries and other fried white potatoes,2,105,96
French fries and other fried white potatoes,3,596,494
French fries and other fried white potatoes,4,555,410
French fries and other fried white potatoes,6,122,103
French fries and other fried white potatoes,7,46,41
Fried rice and lo/chow mein,1,44,35
Fried rice and lo/chow mein,2,32,27
Fried rice and lo/chow mein,3,87,68
Fried rice and lo/chow mein,4,97,74
Fried rice and lo/chow mein,6,140,107
Fried rice and lo/chow mein,7,12,7
Fruit drinks,1,218,144
Fruit drinks,2,254,170
Fruit drinks,3,424,311
Fruit drinks,4,860,526
Fruit drinks,6,135,108
Fruit drinks,7,57,42
"Gelatins, ices, sorbets",1,36,33
"Gelatins, ices, sorbets",2,25,22
"Gelatins, ices, sorbets",3,86,76
"Gelatins, ices, sorbets",4,69,55
"Gelatins, ices, sorbets",6,22,21
"Gelatins, ices, sorbets",7,6,4
Grapes,1,25,23
Grapes,2,34,31
Grapes,3,186,157
Grapes,4,172,130
Grapes,6,116,86
Grapes,7,10,9
Grits and other cooked cereals,1,7,7
Grits and other cooked cereals,2,15,14
Grits and other cooked cereals,3,62,51
Grits and other cooked cereals,4,167,137
Grits and other cooked cereals,6,17,13
Grits and other cooked cereals,7,6,6
Ground beef,1,50,47
Ground beef,2,46,45
Ground beef,3,281,253
Ground beef,4,164,150
Ground beef,6,43,37
Ground beef,7,16,14
Ice cream and frozen dairy desserts,1,71,66
Ice cream and frozen dairy desserts,2,112,99
Ice cream and frozen dairy desserts,3,631,510
Ice cream and frozen dairy desserts,4,331,277
Ice cream and frozen dairy desserts,6,151,126
Ice cream and frozen dairy desserts,7,39,32
"Jams, syrups, toppings",1,70,59
"Jams, syrups, toppings",2,95,69
"Jams, syrups, toppings",3,568,432
"Jams, syrups, toppings",4,301,243
"Jams, syrups, toppings",6,121,97
"Jams, syrups, toppings",7,42,33
"Lamb, goat, game",1,4,4
"Lamb, goat, game",2,10,9
"Lamb, goat, game",3,23,22
"Lamb, goat, game",4,27,23
"Lamb, goat, game",6,12,10
"Lamb, goat, game",7,2,2
Lettuce and lettuce salads,1,275,203
Lettuce and lettuce salads,2,281,190
Lettuce and lettuce salads,3,1048,749
Lettuce and lettuce salads,4,593,430
Lettuce and lettuce salads,6,271,195
Lettuce and lettuce salads,7,76,61
Liquor and cocktails,1,26,20
Liquor and cocktails,2,38,34
Liquor and cocktails,3,256,178
Liquor and cocktails,4,174,131
Liquor and cocktails,6,47,33
Liquor and cocktails,7,10,8
Liver and organ meats,1,3,3
Liver and organ meats,2,2,2
Liver and organ meats,3,12,12
Liver and organ meats,4,9,9
Liver and organ meats,6,11,9
Macaroni and cheese,1,20,18
Macaroni and cheese,2,20,18
Macaroni and cheese,3,164,148
Macaroni and cheese,4,173,157
Macaroni and cheese,6,18,18
Macaroni and cheese,7,17,15
Margarine,1,54,39
Margarine,2,78,61
Margarine,3,585,372
Margarine,4,253,195
Margarine,6,60,45
Margarine,7,42,29
Mashed potatoes and white potato mixtures,1,56,50
Mashed potatoes and white potato mixtures,2,71,67
Mashed potatoes and white potato mixtures,3,487,410
Mashed potatoes and white potato mixtures,4,294,254
Mashed potatoes and white potato mixtures,6,56,49
Mashed potatoes and white potato mixtures,7,37,31
Mayonnaise,1,148,130
Mayonnaise,2,131,101
Mayonnaise,3,683,525
Mayonnaise,4,426,329
Mayonnaise,6,90,73
Mayonnaise,7,39,33
Meat mixed dishes,1,78,66
Meat mixed dishes,2,115,95
Meat mixed dishes,3,480,405
Meat mixed dishes,4,244,213
Meat mixed dishes,6,152,127
Meat mixed dishes,7,31,26
Melons,1,46,32
Melons,2,52,42
Melons,3,204,134
Melons,4,125,78
Melons,6,94,70
Melons,7,16,7
Milk shakes and other dairy drinks,1,14,12
Milk shakes and other dairy drinks,2,12,10
Milk shakes and other dairy drinks,3,85,73
Milk shakes and other dairy drinks,4,51,47
Milk shakes and other dairy drinks,6,9,7
Milk shakes and other dairy drinks,7,6,5
Milk substitutes,1,16,12
Milk substitutes,2,36,23
Milk substitutes,3,131,73
Milk substitutes,4,69,45
Milk substitutes,6,88,61
